,COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME,INCONCLUSIVE,DATE,DAY_OF_WEEK,NEW_NEGATIVES,NEW_CASES
6691,Hernando,0.0,2878,107.0,4.0,2987.0,html version of FL COVID Rep 05-20-2020,2.0,2020-05-20,2,247.0,-2.0
2352,Unknown,65.0,36,5.0,12.0,106.0,html version of FL COVID Rep 04-06-2020(PM),0.0,2020-04-06,0,0.0,-2.0
3008,Volusia,5.0,2014,193.0,9.0,2213.0,html version of FL COVID Rep 04-11-2020(PM),1.0,2020-04-11,5,16.0,-2.0
2458,Alachua,8.0,2527,139.0,5.0,2681.0,html version of FL COVID Rep 04-07-2020(PM),7.0,2020-04-07,1,14.0,-2.0
939,Manatee,6.0,174,24.0,12.0,204.0,html version of FL COVID Rep 03-26-2020,0.0,2020-03-26,3,21.0,-2.0
9058,Baker,0.0,1497,42.0,3.0,1539.0,html version of FL COVID Rep 06-23-2020,0.0,2020-06-23,1,7.0,-2.0
5628,Osceola,42.0,6283,514.0,8.0,6850.0,html version of FL COVID Rep 05-05-2020,11.0,2020-05-05,1,208.0,-2.0
6184,Brevard,1.0,12922,344.0,3.0,13270.0,html version of FL COVID Rep 05-13-2020,3.0,2020-05-13,2,35.0,-2.0
8013,Calhoun,0.0,571,61.0,10.0,634.0,html version of FL COVID Rep 06-1-2020,2.0,2020-06-01,0,3.0,-2.0
4400,Santa Rosa,1.0,2033,139.0,6.0,2174.0,html version of FL COVID Rep 04-21-2020(PM),1.0,2020-04-21,1,23.0,-2.0
7430,Leon,10.0,14377,404.0,3.0,14796.0,html version of FL COVID Rep 05-31-2020,5.0,2020-05-31,6,172.0,-2.0
4809,Leon,8.0,2687,207.0,7.0,2904.0,html version of FL COVID Rep 04-24-2020(PM),2.0,2020-04-24,4,-2.0,-2.0
7947,Calhoun,0.0,613,64.0,9.0,679.0,html version of FL COVID Rep 06-09-2020,2.0,2020-06-09,1,1.0,-2.0
5668,Okeechobee,1.0,837,17.0,2.0,855.0,html version of FL COVID Rep 05-05-2020,0.0,2020-05-05,1,213.0,-1.0
3433,Santa Rosa,1.0,1583,114.0,7.0,1699.0,html version of FL COVID Rep 04-14-2020(PM),1.0,2020-04-14,1,10.0,-1.0
6279,Monroe,37.0,1794,95.0,5.0,1926.0,html version of FL COVID Rep 05-14-2020,0.0,2020-05-14,3,79.0,-1.0
6555,Monroe,45.0,1988,99.0,5.0,2132.0,html version of FL COVID Rep 05-18-2020,0.0,2020-05-18,0,41.0,-1.0
7040,Monroe,99.0,2377,107.0,4.0,2583.0,html version of FL COVID Rep 05-25-2020,0.0,2020-05-25,0,48.0,-1.0
1094,Santa Rosa,2.0,156,11.0,7.0,169.0,html version of FL COVID Rep 03-27-2020,0.0,2020-03-27,4,33.0,-1.0
544,Santa Rosa,5.0,45,3.0,6.0,53.0,html version of FL COVID Rep 03-23-2020,0.0,2020-03-23,0,14.0,-1.0
3841,Pasco,25.0,3800,192.0,5.0,4022.0,html version of FL COVID Rep 04-17-2020(PM),5.0,2020-04-17,4,28.0,-1.0
3930,Nassau,0.0,816,39.0,5.0,855.0,html version of FL COVID Rep 04-17-2020,0.0,2020-04-17,4,43.0,-1.0
4539,Okaloosa,11.0,1636,134.0,8.0,1782.0,html version of FL COVID Rep 04-22-2020(PM),1.0,2020-04-22,2,1.0,-1.0
1566,Pasco,13.0,1020,40.0,4.0,1073.0,html version of FL COVID Rep 03-31-2020(PM),0.0,2020-03-31,1,57.0,-1.0
5647,Putnam,3.0,1775,120.0,6.0,1898.0,html version of FL COVID Rep 05-05-2020,0.0,2020-05-05,1,26.0,-1.0
2702,Okeechobee,1.0,140,4.0,3.0,145.0,html version of FL COVID Rep 04-08-2020,0.0,2020-04-08,2,1.0,-1.0
3306,Putnam,3.0,813,42.0,5.0,858.0,html version of FL COVID Rep 04-13-2020(PM),0.0,2020-04-13,0,13.0,-1.0
5013,Pasco,25.0,4827,232.0,5.0,5090.0,html version of FL COVID Rep 04-26-2020,6.0,2020-04-26,6,105.0,-1.0
1446,Nassau,1.0,96,7.0,7.0,104.0,html version of FL COVID Rep 03-30-2020(PM),0.0,2020-03-30,0,0.0,-1.0
5282,Osceola,45.0,5232,478.0,8.0,5758.0,html version of FL COVID Rep 04-30-2020,3.0,2020-04-30,3,200.0,-1.0
452,Alachua,45.0,549,36.0,6.0,630.0,html version of FL COVID Rep 03-23-2020(PM),0.0,2020-03-23,0,2.0,-1.0
4802,Sarasota,1.0,3728,314.0,8.0,4044.0,html version of FL COVID Rep 04-24-2020(PM),1.0,2020-04-24,4,13.0,-1.0
8428,Washington,1.0,1447,91.0,6.0,1540.0,html version of FL COVID Rep 06-15-2020,1.0,2020-06-15,0,11.0,-1.0
6434,Washington,0.0,383,13.0,3.0,396.0,html version of FL COVID Rep 05-16-2020,0.0,2020-05-16,5,10.0,-1.0
4082,Washington,1.0,130,5.0,4.0,136.0,html version of FL COVID Rep 04-18-2020,0.0,2020-04-18,5,6.0,-1.0
3186,Washington,5.0,101,4.0,4.0,110.0,html version of FL COVID Rep 04-12-2020(PM),0.0,2020-04-12,6,1.0,-1.0
5798,Walton,0.0,707,50.0,7.0,758.0,html version of FL COVID Rep 05-07-2020,1.0,2020-05-07,3,14.0,-1.0
